,,,,,,,,,"6,36,246",78,"1,95,087",,Total Sold,203,DIvidend%,0%,,,,,Profit ,Net Profit,,,,,,,
Copy paste this data from KHM sheet,,,,,,,Manual Entry,,,This data will populate automatically,,,0,"40,578","1,54,509",0,"1,54,509",,,,30.66%,24.28%,,,,,,,
Buy Date,ETF Code,Underlying Asset,Buy Price,Actual Buy Qty,Suggested Qty,Invested amount,Sell Price,Sell Date,Invested amt on this date,Holding Days,Profit Amount,Profit%,Brokerage plus charges Both Side,Income Tax (STCG),Profit after deducting Brokerage and Income Tax ,Dividend paid to Self,Growth Amount after Tax and Dividend,,Sell Date - Year-Month,SUM of Profit Amount,MAX of Invested amt on this date,SUM of Brokerage plus charges Both Side,SUM of Income Tax (STCG),SUM of Dividend paid to Self,SUM of Growth Amount after Tax and Dividend,Monthly P% on Max Invested,Overall P% on Max Invested till date,Overall P% on Max Invested from pocket,Approx Annualised %
10-Oct-23,UTINEXT50,Nifty Next 50,47.57,255,,"12,130",51.03,01-Dec-23,"3,50,931",52,882,7.27%,,184,699,0,699,,,,,,,,,,,,
08-Aug-23,HDFCSILVER,Silver,70.27,171,,"12,016",74.95,01-Dec-23,"3,38,914",115,800,6.66%,,166,634,0,634,,,,,,,,,,,,
03-Nov-23,ICICINV20,Nifty50 Value 20,112.30,114,,"12,802",119.27,01-Dec-23,"3,15,148",28,795,6.21%,,165,629,0,629,,,,,,,,,,,,
04-Sep-23,KOTAKLOVOL,Nifty 100 Low Vol 30 ETF,15.23,835,,"12,717",16.27,01-Dec-23,"3,02,431",88,868,6.83%,,181,688,0,688,,,,,,,,,,,,
07-Sep-23,KOTAKGOLD,Gold,50.35,254,,"12,789",53.46,01-Dec-23,"2,89,642",85,790,6.18%,,164,626,0,626,,,,,,,,,,,,
02-Nov-23,DSPQ50ETF,Nifty Midcap 150 Quality 50 Index,186.57,65,,"12,127",198.21,04-Dec-23,"2,91,109",32,757,6.24%,,157,599,0,599,,,,,,,,,,,,
04-Aug-23,SILVERBEES,Silver,71.05,170,,"12,079",75.66,04-Dec-23,"2,79,031",122,784,6.49%,,163,621,0,621,,,,,,,,,,,,
22-Nov-23,KOTAKPSUBK,Nifty PSU Bank,502.05,29,,"14,559",536.00,05-Dec-23,"2,77,980",13,985,6.76%,,205,780,0,780,,,,,,,,,,,,
08-Nov-23,ICICINIFTY,Nifty 50,213.65,60,,"12,819",228.60,05-Dec-23,"2,80,368",27,897,7.00%,,187,710,0,710,,,,,,,,,,,,
14-Aug-23,SETFNIFBK,Nifty Bank,446.56,27,,"12,057",474.74,06-Dec-23,"2,81,911",114,761,6.31%,,158,603,0,603,,,,,,,,,,,,
03-Aug-23,NSE:BFSI,Nifty Financial Services Index,20.10,598,,"12,020",21.39,06-Dec-23,"2,69,891",125,771,6.42%,,160,611,0,611,,,,,,,,,,,,
